"","date","hits","keyword","geo","time","gprop","category"
"1",2017-01-01,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"2",2017-01-08,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"3",2017-01-15,34,"Bird","GB","2017-01-01 2021-01-01","web",0
"4",2017-01-22,41,"Bird","GB","2017-01-01 2021-01-01","web",0
"5",2017-01-29,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"6",2017-02-05,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"7",2017-02-12,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"8",2017-02-19,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"9",2017-02-26,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"10",2017-03-05,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"11",2017-03-12,34,"Bird","GB","2017-01-01 2021-01-01","web",0
"12",2017-03-19,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"13",2017-03-26,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"14",2017-04-02,38,"Bird","GB","2017-01-01 2021-01-01","web",0
"15",2017-04-09,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"16",2017-04-16,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"17",2017-04-23,38,"Bird","GB","2017-01-01 2021-01-01","web",0
"18",2017-04-30,43,"Bird","GB","2017-01-01 2021-01-01","web",0
"19",2017-05-07,43,"Bird","GB","2017-01-01 2021-01-01","web",0
"20",2017-05-14,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"21",2017-05-21,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"22",2017-05-28,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"23",2017-06-04,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"24",2017-06-11,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"25",2017-06-18,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"26",2017-06-25,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"27",2017-07-02,38,"Bird","GB","2017-01-01 2021-01-01","web",0
"28",2017-07-09,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"29",2017-07-16,34,"Bird","GB","2017-01-01 2021-01-01","web",0
"30",2017-07-23,34,"Bird","GB","2017-01-01 2021-01-01","web",0
"31",2017-07-30,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"32",2017-08-06,32,"Bird","GB","2017-01-01 2021-01-01","web",0
"33",2017-08-13,32,"Bird","GB","2017-01-01 2021-01-01","web",0
"34",2017-08-20,31,"Bird","GB","2017-01-01 2021-01-01","web",0
"35",2017-08-27,31,"Bird","GB","2017-01-01 2021-01-01","web",0
"36",2017-09-03,30,"Bird","GB","2017-01-01 2021-01-01","web",0
"37",2017-09-10,28,"Bird","GB","2017-01-01 2021-01-01","web",0
"38",2017-09-17,30,"Bird","GB","2017-01-01 2021-01-01","web",0
"39",2017-09-24,32,"Bird","GB","2017-01-01 2021-01-01","web",0
"40",2017-10-01,32,"Bird","GB","2017-01-01 2021-01-01","web",0
"41",2017-10-08,29,"Bird","GB","2017-01-01 2021-01-01","web",0
"42",2017-10-15,30,"Bird","GB","2017-01-01 2021-01-01","web",0
"43",2017-10-22,32,"Bird","GB","2017-01-01 2021-01-01","web",0
"44",2017-10-29,34,"Bird","GB","2017-01-01 2021-01-01","web",0
"45",2017-11-05,32,"Bird","GB","2017-01-01 2021-01-01","web",0
"46",2017-11-12,34,"Bird","GB","2017-01-01 2021-01-01","web",0
"47",2017-11-19,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"48",2017-11-26,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"49",2017-12-03,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"50",2017-12-10,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"51",2017-12-17,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"52",2017-12-24,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"53",2017-12-31,34,"Bird","GB","2017-01-01 2021-01-01","web",0
"54",2018-01-07,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"55",2018-01-14,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"56",2018-01-21,38,"Bird","GB","2017-01-01 2021-01-01","web",0
"57",2018-01-28,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"58",2018-02-04,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"59",2018-02-11,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"60",2018-02-18,45,"Bird","GB","2017-01-01 2021-01-01","web",0
"61",2018-02-25,53,"Bird","GB","2017-01-01 2021-01-01","web",0
"62",2018-03-04,45,"Bird","GB","2017-01-01 2021-01-01","web",0
"63",2018-03-11,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"64",2018-03-18,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"65",2018-03-25,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"66",2018-04-01,38,"Bird","GB","2017-01-01 2021-01-01","web",0
"67",2018-04-08,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"68",2018-04-15,42,"Bird","GB","2017-01-01 2021-01-01","web",0
"69",2018-04-22,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"70",2018-04-29,41,"Bird","GB","2017-01-01 2021-01-01","web",0
"71",2018-05-06,44,"Bird","GB","2017-01-01 2021-01-01","web",0
"72",2018-05-13,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"73",2018-05-20,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"74",2018-05-27,44,"Bird","GB","2017-01-01 2021-01-01","web",0
"75",2018-06-03,47,"Bird","GB","2017-01-01 2021-01-01","web",0
"76",2018-06-10,44,"Bird","GB","2017-01-01 2021-01-01","web",0
"77",2018-06-17,45,"Bird","GB","2017-01-01 2021-01-01","web",0
"78",2018-06-24,42,"Bird","GB","2017-01-01 2021-01-01","web",0
"79",2018-07-01,38,"Bird","GB","2017-01-01 2021-01-01","web",0
"80",2018-07-08,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"81",2018-07-15,41,"Bird","GB","2017-01-01 2021-01-01","web",0
"82",2018-07-22,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"83",2018-07-29,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"84",2018-08-05,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"85",2018-08-12,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"86",2018-08-19,32,"Bird","GB","2017-01-01 2021-01-01","web",0
"87",2018-08-26,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"88",2018-09-02,31,"Bird","GB","2017-01-01 2021-01-01","web",0
"89",2018-09-09,32,"Bird","GB","2017-01-01 2021-01-01","web",0
"90",2018-09-16,31,"Bird","GB","2017-01-01 2021-01-01","web",0
"91",2018-09-23,32,"Bird","GB","2017-01-01 2021-01-01","web",0
"92",2018-09-30,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"93",2018-10-07,32,"Bird","GB","2017-01-01 2021-01-01","web",0
"94",2018-10-14,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"95",2018-10-21,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"96",2018-10-28,34,"Bird","GB","2017-01-01 2021-01-01","web",0
"97",2018-11-04,32,"Bird","GB","2017-01-01 2021-01-01","web",0
"98",2018-11-11,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"99",2018-11-18,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"100",2018-11-25,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"101",2018-12-02,32,"Bird","GB","2017-01-01 2021-01-01","web",0
"102",2018-12-09,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"103",2018-12-16,46,"Bird","GB","2017-01-01 2021-01-01","web",0
"104",2018-12-23,100,"Bird","GB","2017-01-01 2021-01-01","web",0
"105",2018-12-30,85,"Bird","GB","2017-01-01 2021-01-01","web",0
"106",2019-01-06,56,"Bird","GB","2017-01-01 2021-01-01","web",0
"107",2019-01-13,51,"Bird","GB","2017-01-01 2021-01-01","web",0
"108",2019-01-20,43,"Bird","GB","2017-01-01 2021-01-01","web",0
"109",2019-01-27,41,"Bird","GB","2017-01-01 2021-01-01","web",0
"110",2019-02-03,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"111",2019-02-10,42,"Bird","GB","2017-01-01 2021-01-01","web",0
"112",2019-02-17,41,"Bird","GB","2017-01-01 2021-01-01","web",0
"113",2019-02-24,42,"Bird","GB","2017-01-01 2021-01-01","web",0
"114",2019-03-03,47,"Bird","GB","2017-01-01 2021-01-01","web",0
"115",2019-03-10,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"116",2019-03-17,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"117",2019-03-24,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"118",2019-03-31,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"119",2019-04-07,41,"Bird","GB","2017-01-01 2021-01-01","web",0
"120",2019-04-14,47,"Bird","GB","2017-01-01 2021-01-01","web",0
"121",2019-04-21,47,"Bird","GB","2017-01-01 2021-01-01","web",0
"122",2019-04-28,42,"Bird","GB","2017-01-01 2021-01-01","web",0
"123",2019-05-05,46,"Bird","GB","2017-01-01 2021-01-01","web",0
"124",2019-05-12,47,"Bird","GB","2017-01-01 2021-01-01","web",0
"125",2019-05-19,50,"Bird","GB","2017-01-01 2021-01-01","web",0
"126",2019-05-26,49,"Bird","GB","2017-01-01 2021-01-01","web",0
"127",2019-06-02,43,"Bird","GB","2017-01-01 2021-01-01","web",0
"128",2019-06-09,44,"Bird","GB","2017-01-01 2021-01-01","web",0
"129",2019-06-16,44,"Bird","GB","2017-01-01 2021-01-01","web",0
"130",2019-06-23,44,"Bird","GB","2017-01-01 2021-01-01","web",0
"131",2019-06-30,42,"Bird","GB","2017-01-01 2021-01-01","web",0
"132",2019-07-07,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"133",2019-07-14,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"134",2019-07-21,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"135",2019-07-28,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"136",2019-08-04,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"137",2019-08-11,38,"Bird","GB","2017-01-01 2021-01-01","web",0
"138",2019-08-18,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"139",2019-08-25,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"140",2019-09-01,33,"Bird","GB","2017-01-01 2021-01-01","web",0
